id	predict	actual
1	Bronze	Bronze
2	Bronze	Bronze
3	Bronze	Bronze
4	Silver	Silver
5	Bronze	Bronze
6	Bronze	Bronze
7	Bronze	Bronze
8	Gloden	Gloden
9	Bronze	Normal
10	Bronze	Bronze
11	Bronze	Bronze
12	Bronze	Silver
13	Bronze	Gloden
14	Bronze	Bronze
15	Bronze	Bronze
16	Bronze	Bronze
17	Bronze	Normal
18	Normal	Normal
19	Bronze	Bronze
20	Bronze	Bronze
21	Bronze	Silver
22	Bronze	Bronze
23	Silver	Silver
24	Silver	Bronze
25	Gloden	Silver
26	Bronze	Normal
27	Bronze	Silver
28	Gloden	Gloden
29	Bronze	Silver
30	Silver	Silver
31	Silver	Bronze
32	Bronze	Silver
33	Bronze	Silver
34	Gloden	Gloden
35	Bronze	Bronze
36	Gloden	Gloden
37	Gloden	Bronze
38	Bronze	Gloden
39	Bronze	Bronze
40	Silver	Bronze
41	Normal	Silver
42	Normal	Normal
43	Bronze	Silver
44	Gloden	Gloden
45	Bronze	Bronze
46	Gloden	Gloden
47	Bronze	Gloden
48	Bronze	Bronze
49	Bronze	Bronze
50	Silver	Bronze
51	Bronze	Bronze
52	Bronze	Silver
53	Normal	Normal
54	Gloden	Gloden
55	Bronze	Bronze
56	Bronze	Bronze
57	Gloden	Gloden
58	Gloden	Gloden
59	Normal	Gloden
60	Normal	Normal
61	Bronze	Bronze
62	Normal	Normal
63	Normal	Normal
64	Bronze	Silver
65	Silver	Bronze
66	Normal	Normal
67	Bronze	Normal
68	Normal	Bronze
69	Gloden	Gloden
70	Bronze	Gloden
71	Bronze	Bronze
72	Normal	Normal
73	Bronze	Normal
74	Silver	Normal
75	Normal	Bronze
76	Silver	Gloden
77	Bronze	Bronze
78	Gloden	Gloden
79	Bronze	Bronze
80	Bronze	Bronze
81	Bronze	Silver
82	Normal	Normal
83	Bronze	Bronze
84	Normal	Normal
85	Bronze	Bronze
86	Bronze	Silver
87	Bronze	Bronze
88	Normal	Normal
89	Bronze	Bronze
90	Bronze	Silver
91	Normal	Bronze
92	Silver	Bronze
93	Bronze	Bronze
94	Bronze	Bronze
95	Bronze	Bronze
96	Normal	Bronze
97	Bronze	Bronze
98	Bronze	Bronze
99	Bronze	Bronze
100	Bronze	Bronze
101	Bronze	Normal
102	Bronze	Bronze
103	Bronze	Silver
104	Silver	Bronze
105	Bronze	Bronze
106	Bronze	Bronze
107	Bronze	Gloden
108	Bronze	Bronze
109	Bronze	Gloden
110	Bronze	Bronze
111	Bronze	Silver
112	Bronze	Bronze
113	Normal	Normal
114	Normal	Normal
115	Bronze	Normal
116	Gloden	Bronze
117	Silver	Bronze
118	Bronze	Silver
119	Bronze	Silver
120	Gloden	Bronze
121	Bronze	Normal
122	Bronze	Gloden
123	Bronze	Bronze
124	Bronze	Bronze
125	Bronze	Gloden
126	Bronze	Bronze
127	Bronze	Bronze
128	Normal	Normal
129	Bronze	Bronze
130	Bronze	Silver
131	Bronze	Normal
132	Normal	Normal
133	Normal	Gloden
134	Bronze	Bronze
135	Silver	Silver
136	Silver	Bronze
137	Silver	Bronze
138	Bronze	Bronze
139	Silver	Gloden
140	Bronze	Bronze
141	Bronze	Bronze
142	Bronze	Bronze
143	Bronze	Bronze
144	Normal	Normal
145	Bronze	Bronze
146	Silver	Bronze
147	Normal	Normal
148	Silver	Silver
149	Bronze	Bronze
150	Normal	Bronze
151	Bronze	Bronze
152	Bronze	Bronze
153	Bronze	Bronze
154	Bronze	Gloden
155	Normal	Normal
156	Bronze	Bronze
157	Bronze	Bronze
158	Bronze	Gloden
159	Normal	Normal
160	Bronze	Bronze
161	Bronze	Normal
162	Bronze	Bronze
163	Bronze	Silver
164	Silver	Bronze
165	Normal	Normal
166	Bronze	Bronze
167	Normal	Normal
168	Normal	Normal
169	Bronze	Bronze
170	Bronze	Bronze
171	Bronze	Bronze
172	Bronze	Bronze
173	Bronze	Bronze
174	Bronze	Bronze
175	Bronze	Bronze
176	Bronze	Bronze
177	Bronze	Bronze
178	Gloden	Normal
179	Silver	Silver
180	Normal	Normal
181	Bronze	Gloden
182	Bronze	Bronze
183	Bronze	Bronze
184	Normal	Normal
185	Bronze	Normal
186	Silver	Gloden
187	Gloden	Normal
188	Normal	Normal
189	Bronze	Bronze
190	Bronze	Bronze
191	Bronze	Bronze
192	Bronze	Bronze
193	Bronze	Bronze
194	Gloden	Gloden
195	Bronze	Bronze
196	Normal	Normal
197	Gloden	Gloden
198	Bronze	Bronze
199	Bronze	Bronze
200	Gloden	Bronze
201	Silver	Silver
202	Bronze	Bronze
203	Bronze	Bronze
204	Gloden	Gloden
205	Bronze	Silver
206	Bronze	Bronze
207	Silver	Silver
208	Bronze	Bronze
209	Bronze	Bronze
210	Silver	Silver
211	Bronze	Gloden
212	Bronze	Bronze
213	Normal	Normal
214	Bronze	Bronze
215	Bronze	Bronze
216	Bronze	Bronze
217	Silver	Bronze
218	Normal	Normal
219	Normal	Normal
220	Bronze	Silver
221	Bronze	Bronze
222	Bronze	Bronze
223	Bronze	Bronze
224	Normal	Normal
225	Bronze	Bronze
226	Bronze	Normal
227	Silver	Bronze
228	Gloden	Bronze
229	Bronze	Bronze
230	Bronze	Bronze
231	Bronze	Gloden
232	Silver	Normal
233	Bronze	Bronze
234	Gloden	Gloden
235	Normal	Gloden
236	Silver	Silver
237	Normal	Bronze
238	Bronze	Silver
239	Gloden	Gloden
240	Bronze	Normal
241	Bronze	Bronze
242	Bronze	Bronze
243	Bronze	Bronze
244	Bronze	Silver
245	Bronze	Bronze
246	Gloden	Gloden
247	Bronze	Bronze
248	Gloden	Gloden
249	Silver	Bronze
250	Bronze	Silver
251	Bronze	Bronze
252	Silver	Silver
253	Silver	Silver
254	Gloden	Gloden
255	Bronze	Bronze
256	Gloden	Gloden
257	Normal	Bronze
258	Bronze	Bronze
259	Bronze	Bronze
260	Bronze	Gloden
261	Bronze	Bronze
262	Bronze	Bronze
263	Bronze	Bronze
264	Silver	Normal
265	Bronze	Bronze
266	Bronze	Gloden
267	Bronze	Gloden
268	Bronze	Bronze
269	Gloden	Gloden
270	Bronze	Silver
271	Silver	Silver
272	Bronze	Bronze
273	Bronze	Silver
274	Silver	Gloden
275	Normal	Normal
276	Bronze	Silver
277	Bronze	Bronze
278	Bronze	Bronze
279	Gloden	Gloden
280	Bronze	Silver
281	Gloden	Gloden
282	Gloden	Bronze
283	Bronze	Normal
284	Bronze	Bronze
285	Bronze	Bronze
286	Bronze	Bronze
287	Bronze	Bronze
288	Bronze	Bronze
289	Bronze	Normal
290	Silver	Normal
291	Bronze	Normal
292	Bronze	Silver
293	Bronze	Bronze
294	Gloden	Gloden
295	Gloden	Silver
296	Bronze	Bronze
297	Bronze	Bronze
298	Silver	Silver
299	Normal	Normal
300	Normal	Normal
301	Bronze	Normal
302	Silver	Silver
303	Bronze	Silver
304	Bronze	Bronze
305	Bronze	Bronze
306	Bronze	Bronze
307	Bronze	Bronze
308	Bronze	Bronze
309	Bronze	Bronze
310	Normal	Normal
311	Bronze	Bronze
312	Silver	Silver
313	Bronze	Bronze
314	Bronze	Bronze
315	Bronze	Bronze
316	Silver	Bronze
317	Silver	Silver
318	Silver	Gloden
319	Normal	Normal
320	Bronze	Silver
321	Normal	Normal
322	Normal	Bronze
323	Bronze	Bronze
324	Gloden	Gloden
325	Bronze	Bronze
326	Bronze	Silver
327	Gloden	Bronze
328	Bronze	Bronze
329	Gloden	Gloden
330	Gloden	Gloden
331	Bronze	Bronze
332	Gloden	Bronze
333	Gloden	Gloden
334	Normal	Normal
335	Bronze	Gloden
336	Gloden	Gloden
337	Gloden	Bronze
338	Silver	Silver
339	Bronze	Bronze
340	Normal	Bronze
341	Bronze	Bronze
342	Bronze	Silver
343	Gloden	Gloden
344	Bronze	Silver
345	Gloden	Gloden
346	Bronze	Normal
347	Normal	Normal
348	Gloden	Gloden
349	Bronze	Normal
350	Gloden	Gloden
351	Silver	Gloden
352	Bronze	Bronze
353	Gloden	Gloden
354	Bronze	Gloden
355	Bronze	Gloden
356	Gloden	Normal
357	Silver	Silver
358	Silver	Bronze
359	Normal	Normal
360	Normal	Normal
361	Bronze	Bronze
362	Bronze	Bronze
363	Bronze	Normal
364	Gloden	Silver
365	Bronze	Bronze
366	Bronze	Bronze
367	Bronze	Bronze
368	Bronze	Bronze
369	Bronze	Bronze
370	Bronze	Bronze
371	Bronze	Bronze
372	Bronze	Bronze
373	Silver	Silver
374	Bronze	Bronze
375	Bronze	Bronze
376	Bronze	Bronze
377	Silver	Gloden
378	Bronze	Silver
379	Bronze	Gloden
380	Bronze	Bronze
381	Bronze	Bronze
382	Bronze	Silver
383	Bronze	Bronze
384	Silver	Gloden
385	Bronze	Bronze
386	Bronze	Normal
387	Silver	Bronze
388	Bronze	Bronze
389	Gloden	Gloden
390	Silver	Gloden
391	Bronze	Bronze
392	Gloden	Gloden
393	Gloden	Gloden
394	Gloden	Gloden
395	Bronze	Normal
396	Normal	Gloden
397	Bronze	Bronze
398	Bronze	Gloden
399	Silver	Silver
400	Bronze	Bronze
401	Bronze	Bronze
402	Bronze	Bronze
403	Bronze	Gloden
404	Bronze	Bronze
405	Bronze	Bronze
406	Gloden	Gloden
407	Bronze	Bronze
408	Bronze	Gloden
409	Gloden	Gloden
410	Bronze	Bronze
411	Silver	Silver
412	Bronze	Bronze
413	Bronze	Bronze
414	Bronze	Silver
415	Bronze	Gloden
416	Bronze	Bronze
417	Bronze	Bronze
418	Bronze	Bronze
419	Bronze	Bronze
420	Bronze	Bronze
421	Bronze	Silver
422	Normal	Normal
423	Bronze	Bronze
424	Bronze	Bronze
425	Bronze	Bronze
426	Bronze	Bronze
427	Silver	Bronze
428	Bronze	Bronze
429	Bronze	Bronze
430	Bronze	Normal
431	Bronze	Bronze
432	Normal	Normal
433	Bronze	Bronze
434	Silver	Silver
435	Bronze	Silver
436	Normal	Normal
437	Bronze	Bronze
438	Normal	Normal
439	Bronze	Gloden
440	Bronze	Normal
441	Normal	Bronze
442	Bronze	Bronze
443	Silver	Bronze
444	Bronze	Bronze
445	Gloden	Gloden
446	Gloden	Silver
447	Bronze	Silver
448	Bronze	Bronze
449	Bronze	Bronze
450	Bronze	Bronze
451	Bronze	Bronze
452	Gloden	Normal
453	Gloden	Gloden
454	Bronze	Silver
455	Normal	Normal
456	Bronze	Bronze
457	Bronze	Bronze
458	Bronze	Bronze
459	Bronze	Bronze
460	Bronze	Bronze
461	Bronze	Bronze
462	Bronze	Bronze
463	Bronze	Bronze
464	Bronze	Bronze
465	Bronze	Bronze
466	Bronze	Silver
467	Silver	Silver
468	Silver	Silver
469	Bronze	Bronze
470	Normal	Normal
471	Bronze	Bronze
472	Silver	Bronze
473	Silver	Bronze
474	Gloden	Gloden
475	Bronze	Bronze
476	Bronze	Bronze
477	Bronze	Bronze
478	Bronze	Bronze
479	Bronze	Bronze
480	Bronze	Normal
481	Silver	Bronze
482	Bronze	Bronze
483	Gloden	Bronze
484	Bronze	Bronze
485	Bronze	Silver
486	Gloden	Gloden
487	Bronze	Bronze
488	Bronze	Bronze
489	Bronze	Bronze
490	Silver	Bronze
491	Bronze	Silver
492	Normal	Bronze
493	Bronze	Silver
494	Bronze	Bronze
495	Gloden	Gloden
496	Bronze	Bronze
497	Bronze	Bronze
498	Silver	Normal
499	Bronze	Bronze
500	Bronze	Bronze
501	Bronze	Bronze
502	Bronze	Bronze
503	Normal	Normal
504	Bronze	Silver
505	Gloden	Gloden
506	Bronze	Bronze
507	Bronze	Silver
508	Bronze	Bronze
509	Bronze	Normal
510	Bronze	Gloden
511	Bronze	Silver
512	Bronze	Normal
513	Normal	Silver
514	Bronze	Bronze
515	Bronze	Bronze
516	Normal	Normal
517	Bronze	Bronze
518	Bronze	Gloden
519	Bronze	Bronze
520	Normal	Normal
521	Bronze	Bronze
522	Bronze	Bronze
523	Bronze	Bronze
524	Bronze	Bronze
525	Bronze	Gloden
526	Bronze	Bronze
527	Gloden	Gloden
528	Bronze	Gloden
529	Normal	Gloden
530	Normal	Normal
531	Bronze	Bronze
532	Bronze	Normal
533	Bronze	Bronze
534	Bronze	Bronze
535	Normal	Normal
536	Gloden	Gloden
537	Bronze	Gloden
538	Normal	Normal
539	Bronze	Normal
540	Bronze	Bronze
541	Bronze	Bronze
542	Bronze	Normal
543	Silver	Silver
544	Gloden	Bronze
545	Normal	Normal
546	Silver	Bronze
547	Normal	Normal
548	Bronze	Bronze
549	Bronze	Bronze
550	Bronze	Bronze
551	Normal	Normal
552	Bronze	Bronze
553	Silver	Bronze
554	Silver	Bronze
555	Silver	Bronze
556	Bronze	Bronze
557	Bronze	Bronze
558	Bronze	Bronze
559	Bronze	Silver
560	Bronze	Silver
561	Gloden	Gloden
562	Bronze	Bronze
563	Bronze	Normal
564	Gloden	Gloden
565	Bronze	Silver
566	Bronze	Bronze
567	Normal	Silver
568	Bronze	Bronze
569	Bronze	Bronze
570	Bronze	Normal
571	Bronze	Silver
572	Gloden	Gloden
573	Bronze	Silver
574	Bronze	Bronze
575	Bronze	Bronze
576	Bronze	Bronze
577	Bronze	Bronze
578	Bronze	Silver
579	Normal	Bronze
580	Bronze	Bronze
581	Bronze	Normal
582	Bronze	Gloden
583	Gloden	Bronze
584	Bronze	Bronze
585	Bronze	Bronze
586	Bronze	Silver
587	Silver	Silver
588	Gloden	Bronze
589	Bronze	Bronze
590	Bronze	Bronze
591	Silver	Silver
592	Bronze	Bronze
593	Gloden	Silver
594	Gloden	Gloden
595	Gloden	Bronze
596	Bronze	Bronze
597	Silver	Silver
598	Bronze	Bronze
599	Gloden	Gloden
600	Bronze	Bronze
601	Normal	Bronze
602	Bronze	Silver
603	Bronze	Bronze
604	Bronze	Bronze
605	Normal	Normal
606	Gloden	Silver
607	Bronze	Bronze
608	Gloden	Gloden
609	Bronze	Bronze
610	Bronze	Bronze
611	Bronze	Bronze
612	Normal	Normal
613	Normal	Normal
614	Normal	Normal
615	Normal	Normal
616	Gloden	Gloden
617	Bronze	Silver
618	Bronze	Bronze
619	Normal	Normal
620	Bronze	Bronze
621	Bronze	Normal
622	Bronze	Bronze
623	Silver	Bronze
624	Normal	Normal
625	Bronze	Bronze
